               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.034435,            0.024722,           0.0067366,             0.97959,             0.79973,             0.95879,               0.482,            0.033618,             0.14518,           0.0059261,           0.0075114,           0.0075114,           0.0075114
                 115,             0.03639,            0.023683,           0.0058683,             0.99946,             0.81286,             0.93911,             0.52623,             0.03223,             0.15515,           0.0070888,           0.0074725,           0.0074725,           0.0074725
                 116,            0.034943,            0.024887,           0.0068786,             0.92525,             0.86146,              0.9816,             0.53953,            0.031251,             0.13754,           0.0049474,           0.0074335,           0.0074335,           0.0074335
                 117,            0.035982,            0.022165,           0.0090901,             0.95877,             0.91376,             0.98651,             0.51701,            0.035097,             0.11486,           0.0049132,           0.0073943,           0.0073943,           0.0073943
                 118,            0.037206,            0.021801,           0.0062831,             0.96464,             0.91465,             0.99018,             0.54992,             0.03366,             0.10491,            0.004684,            0.007355,            0.007355,            0.007355
                 119,            0.033596,             0.02286,           0.0056573,             0.96441,             0.95313,               0.993,             0.50796,            0.030429,            0.088347,           0.0037881,           0.0073155,           0.0073155,           0.0073155
                 120,            0.033583,            0.027042,           0.0059369,             0.99994,             0.74654,             0.87724,             0.44824,            0.036523,             0.18918,           0.0079236,           0.0072758,           0.0072758,           0.0072758
                 121,            0.036644,            0.023146,           0.0059003,             0.99986,             0.75929,             0.95249,             0.50166,             0.03458,             0.14213,           0.0043673,           0.0072361,           0.0072361,           0.0072361
                 122,            0.034747,            0.024891,           0.0060738,             0.99444,             0.66176,             0.88295,             0.49278,            0.043643,              0.2006,           0.0060885,           0.0071962,           0.0071962,           0.0071962
                 123,            0.036289,            0.023106,           0.0064131,             0.88283,             0.76209,             0.93001,             0.46393,            0.037081,             0.20578,           0.0054257,           0.0071561,           0.0071561,           0.0071561
                 124,             0.03468,            0.028689,           0.0058539,             0.96752,              0.6641,             0.81957,             0.43971,             0.04607,             0.22519,           0.0078285,            0.007116,            0.007116,            0.007116
                 125,            0.034734,            0.021575,           0.0056737,             0.96255,             0.79204,             0.83813,             0.43319,            0.040235,               0.169,           0.0091237,           0.0070757,           0.0070757,           0.0070757
                 126,            0.034144,            0.020542,           0.0062907,             0.94082,              0.7573,             0.90245,             0.48508,            0.038375,              0.1415,           0.0080944,           0.0070353,           0.0070353,           0.0070353
                 127,            0.033598,            0.021512,            0.006498,             0.92325,             0.83386,             0.94363,             0.48477,            0.040542,             0.17078,           0.0074294,           0.0069948,           0.0069948,           0.0069948
                 128,            0.034205,            0.023682,           0.0063973,             0.97844,             0.84781,              0.9707,             0.53208,            0.031147,             0.13779,           0.0073122,           0.0069541,           0.0069541,           0.0069541
                 129,             0.03354,            0.023412,           0.0061349,             0.97401,             0.98867,             0.99415,             0.55422,            0.029759,            0.086223,           0.0041029,           0.0069134,           0.0069134,           0.0069134
                 130,            0.032554,            0.022585,            0.005969,             0.97088,              0.9778,             0.99405,             0.52351,            0.030148,            0.081848,           0.0042003,           0.0068726,           0.0068726,           0.0068726
                 131,            0.032831,            0.024131,           0.0056109,             0.96456,              0.9141,             0.96257,             0.51749,            0.032845,             0.14025,           0.0049502,           0.0068316,           0.0068316,           0.0068316
                 132,             0.03346,            0.023998,           0.0052058,             0.90543,              0.8533,             0.90533,             0.52696,            0.038927,             0.18435,            0.011836,           0.0067906,           0.0067906,           0.0067906
                 133,            0.033493,            0.020749,           0.0052347,             0.76557,             0.57675,             0.73982,             0.38344,            0.042789,             0.42313,            0.025109,           0.0067495,           0.0067495,           0.0067495
                 134,            0.033558,            0.026323,           0.0052265,             0.92897,             0.84618,             0.97636,             0.51397,            0.027973,             0.13024,            0.004558,           0.0067083,           0.0067083,           0.0067083
                 135,            0.031068,            0.023191,           0.0052644,             0.98513,             0.90536,             0.98778,             0.56247,            0.027386,            0.094683,           0.0062637,           0.0066671,           0.0066671,           0.0066671
                 136,            0.032836,            0.021949,            0.005148,             0.98624,             0.93562,             0.98167,             0.55768,            0.028969,             0.10515,           0.0040362,           0.0066257,           0.0066257,           0.0066257
                 137,            0.032434,            0.022143,           0.0053536,             0.94149,             0.92442,             0.96423,             0.54394,            0.027035,             0.13585,           0.0045597,           0.0065843,           0.0065843,           0.0065843
                 138,            0.033131,            0.022537,           0.0052352,             0.96018,             0.91898,             0.97511,             0.53829,            0.030548,             0.12254,           0.0046311,           0.0065429,           0.0065429,           0.0065429
                 139,            0.030765,            0.020084,           0.0043472,             0.94035,             0.85519,             0.89286,             0.52722,            0.052719,             0.16381,           0.0095509,           0.0065013,           0.0065013,           0.0065013
                 140,            0.032754,            0.025814,           0.0048556,             0.97589,             0.78632,             0.92658,             0.46238,            0.038661,             0.19065,            0.011257,           0.0064597,           0.0064597,           0.0064597
                 141,            0.031336,            0.025424,           0.0045541,             0.98477,             0.89624,             0.95354,             0.50071,            0.035066,             0.14945,            0.010565,           0.0064181,           0.0064181,           0.0064181
                 142,             0.03081,            0.021495,           0.0041787,             0.98468,             0.91045,             0.97616,              0.5321,            0.035856,             0.12773,           0.0068661,           0.0063764,           0.0063764,           0.0063764
                 143,            0.032258,            0.021581,           0.0047875,             0.95082,             0.85839,             0.96248,             0.45474,            0.038611,             0.14458,           0.0059347,           0.0063347,           0.0063347,           0.0063347
                 144,            0.031878,            0.019195,           0.0044163,             0.99834,             0.81433,             0.95035,             0.52754,            0.031023,             0.17149,           0.0086056,            0.006293,            0.006293,            0.006293
