               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.046026,            0.026984,            0.011598,             0.83544,             0.94351,             0.99358,             0.52208,            0.035488,             0.09758,           0.0066265,           0.0070612,           0.0070612,            0.025561
                  68,             0.04362,            0.031391,            0.011948,             0.92984,             0.86295,             0.99108,             0.50939,            0.034293,             0.08985,           0.0083917,            0.007134,            0.007134,            0.024434
                  69,            0.046019,            0.027874,            0.012079,             0.90279,             0.85585,             0.95371,              0.4853,            0.042398,              0.1218,           0.0099307,           0.0072055,           0.0072055,            0.023306
                  70,              0.0447,            0.030859,            0.011724,             0.77117,              0.9101,             0.95784,             0.45437,            0.033768,             0.14562,           0.0084407,           0.0072758,           0.0072758,            0.022176
                  71,            0.048713,            0.029623,            0.013323,             0.67454,             0.82929,             0.88703,             0.37767,            0.046467,             0.21176,            0.010451,           0.0073448,           0.0073448,            0.021045
                  72,            0.045136,            0.032555,            0.013645,               0.767,              0.8752,             0.84282,             0.39553,            0.047134,            0.099118,            0.007358,           0.0074125,           0.0074125,            0.019913
                  73,            0.043455,            0.032346,            0.012849,              0.8261,             0.67551,             0.78789,             0.33745,            0.062481,             0.25138,            0.021465,           0.0074789,           0.0074789,            0.018779
                  74,            0.042775,            0.029325,            0.011279,              0.9472,             0.81958,             0.95771,             0.40338,            0.050765,             0.13879,           0.0073249,           0.0075441,           0.0075441,            0.017644
                  75,            0.043276,            0.027794,            0.010737,             0.89011,             0.95241,             0.97716,              0.4617,            0.047175,             0.09977,           0.0078924,           0.0076079,           0.0076079,            0.016508
                  76,             0.04355,            0.031257,              0.0117,             0.95561,             0.97595,             0.99263,             0.49605,            0.034569,            0.092147,           0.0064966,           0.0076704,           0.0076704,             0.01537
                  77,            0.042512,            0.032146,            0.011244,             0.93254,             0.98523,             0.99198,             0.45601,            0.038205,            0.096092,           0.0061426,           0.0077316,           0.0077316,            0.014232
                  78,            0.043058,            0.032518,            0.010768,              0.8508,             0.92561,             0.94794,             0.48414,            0.044682,             0.12328,           0.0066872,           0.0077914,           0.0077914,            0.013091
