               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.052727,            0.048286,            0.020088,             0.63988,             0.65991,             0.56506,             0.27646,            0.050395,            0.087601,            0.016926,           0.0025647,           0.0025647,            0.071665
                  62,            0.052752,            0.049713,            0.019627,              0.8285,             0.46737,              0.5964,             0.26692,            0.068042,            0.096999,            0.018327,             0.00259,             0.00259,             0.07119
                  63,            0.051005,            0.046826,            0.020102,             0.58641,             0.64744,              0.4448,             0.19477,            0.059698,             0.09396,            0.018722,           0.0026146,           0.0026146,            0.070715
                  64,             0.05359,            0.046452,            0.019073,             0.59164,             0.57028,             0.49578,             0.23951,            0.053272,            0.089357,            0.017939,           0.0026384,           0.0026384,            0.070238
                  65,            0.052311,            0.045075,            0.018771,             0.65602,             0.71049,             0.60169,             0.26274,            0.048363,            0.091988,            0.016328,           0.0026616,           0.0026616,            0.069762
                  66,            0.051895,            0.046929,            0.019235,              0.8298,             0.66621,             0.66081,             0.26753,            0.039834,            0.085571,            0.014265,           0.0026841,           0.0026841,            0.069284
                  67,            0.050759,             0.04965,            0.019404,             0.59201,                0.75,             0.59523,             0.28461,            0.047241,            0.086452,            0.013598,           0.0027058,           0.0027058,            0.068806
                  68,            0.051738,             0.04638,            0.018178,             0.55868,             0.66667,             0.53834,             0.25922,            0.045011,            0.091824,            0.013985,           0.0027269,           0.0027269,            0.068327
                  69,            0.051951,            0.046833,            0.018286,             0.75584,             0.66666,             0.65559,             0.29272,            0.045503,            0.086381,            0.013294,           0.0027472,           0.0027472,            0.067847
                  70,            0.049639,            0.044172,            0.017397,             0.73208,             0.66667,             0.63536,              0.2819,            0.042801,            0.085868,            0.012753,           0.0027669,           0.0027669,            0.067367
                  71,            0.050438,            0.044436,            0.017355,             0.34811,             0.74359,             0.53789,             0.28839,            0.050452,            0.084598,            0.013215,           0.0027858,           0.0027858,            0.066886
                  72,            0.050697,            0.045476,             0.01754,             0.87113,              0.6243,             0.64279,              0.3061,            0.039215,            0.093927,            0.015278,           0.0028039,           0.0028039,            0.066404
                  73,            0.045594,            0.044093,            0.017453,              0.8332,             0.65379,             0.63714,             0.28273,            0.038751,            0.085318,            0.013237,           0.0028214,           0.0028214,            0.065921
                  74,            0.048007,            0.043479,            0.017024,             0.81671,             0.64683,             0.62934,              0.2789,            0.047511,            0.085146,            0.012458,           0.0028381,           0.0028381,            0.065438
                  75,            0.047394,            0.043188,             0.01684,              0.8779,             0.56288,             0.60364,             0.27642,            0.035392,            0.084919,            0.012931,           0.0028541,           0.0028541,            0.064954
                  76,            0.046908,             0.04406,            0.015455,             0.82252,             0.74907,              0.6977,             0.31912,            0.043344,            0.086162,            0.011989,           0.0028694,           0.0028694,            0.064469
                  77,            0.047307,            0.045365,            0.016282,             0.77409,             0.66147,             0.64734,             0.27209,            0.047097,            0.089647,            0.012373,            0.002884,            0.002884,            0.063984
                  78,            0.048085,            0.044145,            0.017188,             0.86248,             0.66019,             0.67855,             0.37054,            0.037901,            0.084681,             0.01189,           0.0028979,           0.0028979,            0.063498
